variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
Talking Heads,19,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,19,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,19,76.93,8.0,8.0,77.06,256.42,8
XTC,19,129.88,16.0,16.0,61.54,209.17,8
Yazoo,19,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,19,0.0,0.0,0.0,0.0,0.0,0
Ultravox,20,0.0,0.0,0.0,0.0,0.0,0
New Order,20,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,20,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,20,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,20,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,20,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,20,46.55,5.0,5.0,32.94,256.42,5
XTC,20,59.19,7.0,7.0,27.55,209.17,6
Yazoo,20,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,20,0.0,0.0,0.0,0.0,0.0,0
Ultravox,21,147.68,18.0,18.0,81.03,1187.17,8
New Order,21,11.06,1.0,1.0,7.4,879.49,2
The Rolling Stones,21,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,21,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,21,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,21,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,21,10.72,1.0,1.0,6.53,256.42,2
XTC,21,9.74,1.0,1.0,4.22,209.17,1
Yazoo,21,9.27,1.0,1.0,3.22,196.69,1
PJ Harvey,21,0.0,0.0,0.0,0.0,0.0,0
Ultravox,22,19.97,2.0,2.0,12.850000000000001,1187.17,2
New Order,22,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,22,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,22,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,22,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,22,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,22,0.0,0.0,0.0,0.0,0.0,0
XTC,22,0.0,0.0,0.0,0.0,0.0,0
Yazoo,22,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,22,0.0,0.0,0.0,0.0,0.0,0
Ultravox,23,0.0,0.0,0.0,0.0,0.0,0
New Order,23,37.77,4.0,4.0,25.96,879.49,4
The Rolling Stones,23,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,23,17.9,2.0,2.0,6.98,665.44,2
Talking Heads,23,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,23,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,23,0.0,0.0,0.0,0.0,0.0,0
XTC,23,0.0,0.0,0.0,0.0,0.0,0
Yazoo,23,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,23,143.34,18.0,18.0,58.879999999999995,174.57,8
Ultravox,24,47.95,5.0,5.0,38.8,1187.17,5
New Order,24,48.82,6.0,5.0,30.020000000000003,879.49,5
The Rolling Stones,24,35.21,4.0,4.0,16.82,681.49,4
Franco Battiato,24,117.27,15.0,14.0,53.78,665.44,8
Talking Heads,24,27.4,3.0,3.0,14.19,472.61,3
Tangerine Dream,24,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,24,0.0,0.0,0.0,0.0,0.0,0
XTC,24,0.0,0.0,0.0,0.0,0.0,0
Yazoo,24,26.43,3.0,3.0,11.2,196.69,3
PJ Harvey,24,59.91,7.0,7.0,30.39,174.57,6
Ultravox,25,0.0,0.0,0.0,0.0,0.0,0
New Order,25,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,25,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,25,172.21,22.0,21.0,83.9,665.44,8
Talking Heads,25,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,25,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,25,0.0,0.0,0.0,0.0,0.0,0
XTC,25,0.0,0.0,0.0,0.0,0.0,0
Yazoo,25,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,25,0.0,0.0,0.0,0.0,0.0,0
Ultravox,26,0.0,0.0,0.0,0.0,0.0,0
New Order,26,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,26,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,26,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,26,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,26,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,26,0.0,0.0,0.0,0.0,0.0,0
XTC,26,0.0,0.0,0.0,0.0,0.0,0
Yazoo,26,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,26,0.0,0.0,0.0,0.0,0.0,0
Ultravox,27,0.0,0.0,0.0,0.0,0.0,0
New Order,27,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,27,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,27,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,27,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,27,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,27,0.0,0.0,0.0,0.0,0.0,0
XTC,27,0.0,0.0,0.0,0.0,0.0,0
Yazoo,27,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,27,0.0,0.0,0.0,0.0,0.0,0
Ultravox,28,255.2,36.0,28.0,161.95,1187.17,8
New Order,28,200.82,25.0,25.0,103.99000000000001,879.49,8
The Rolling Stones,28,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,28,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,28,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,28,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,28,0.0,0.0,0.0,0.0,0.0,0
XTC,28,0.0,0.0,0.0,0.0,0.0,0
Yazoo,28,50.68,6.0,6.0,21.91,196.69,6
PJ Harvey,28,0.0,0.0,0.0,0.0,0.0,0
Ultravox,29,10.37,1.0,1.0,5.68,1187.17,2
New Order,29,191.57,27.0,20.0,132.39,879.49,8
The Rolling Stones,29,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,29,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,29,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,29,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,29,0.0,0.0,0.0,0.0,0.0,0
XTC,29,9.4,1.0,1.0,3.5,209.17,1
Yazoo,29,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,29,0.0,0.0,0.0,0.0,0.0,0
Ultravox,30,0.0,0.0,0.0,0.0,0.0,0
New Order,30,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,30,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,30,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,30,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,30,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,30,0.0,0.0,0.0,0.0,0.0,0
XTC,30,0.0,0.0,0.0,0.0,0.0,0
Yazoo,30,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,30,0.0,0.0,0.0,0.0,0.0,0
