variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,oha,value
Van Der Graaf Generator,17,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,17,18.45,2.0,2.0,8.43,963.66,1,2
Kajagoogoo,17,27.12,3.0,3.0,13.3,908.13,1,3
Yes,17,112.28,13.0,13.0,78.9,898.61,1,8
King Crimson,17,34.98,4.0,4.0,16.060000000000002,587.92,1,4
New Order,17,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,17,81.9,10.0,9.0,52.04,515.13,1,8
Depeche Mode,17,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,17,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,17,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,18,64.31,7.0,7.0,49.3,1000.08,1,7
Franco Battiato,18,17.93,2.0,2.0,7.0600000000000005,963.66,1,2
Kajagoogoo,18,35.71,4.0,4.0,18.509999999999998,908.13,1,4
Yes,18,217.76,26.0,25.0,192.75,898.61,1,8
King Crimson,18,46.54,5.0,5.0,32.91,587.92,1,5
New Order,18,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,18,31.28,4.0,3.0,17.03,515.13,1,4
Depeche Mode,18,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,18,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,18,9.7,1.0,1.0,4.13,329.3,1,1
Van Der Graaf Generator,19,106.18,12.0,12.0,83.7,1000.08,1,8
Franco Battiato,19,0.0,0.0,0.0,0.0,0.0,1,0
Kajagoogoo,19,0.0,0.0,0.0,0.0,0.0,1,0
Yes,19,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,19,10.69,1.0,1.0,6.45,587.92,1,2
New Order,19,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,19,91.94,11.0,11.0,47.59,515.13,1,8
Depeche Mode,19,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,19,8.98,1.0,1.0,2.65,366.5,1,1
The Dandy Warhols,19,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,20,61.58,7.0,7.0,37.230000000000004,1000.08,1,7
Franco Battiato,20,0.0,0.0,0.0,0.0,0.0,1,0
Kajagoogoo,20,187.2,24.0,22.0,112.06,908.13,1,8
Yes,20,63.64,7.0,7.0,46.24,898.61,1,7
King Crimson,20,0.0,0.0,0.0,0.0,0.0,1,0
New Order,20,29.18,3.0,3.0,20.15,570.75,1,3
Premiata Forneria Marconi,20,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,20,21.42,2.0,2.0,17.52,401.93,1,3
Banco Del Mutuo Soccorso,20,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,20,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,21,31.96,3.0,3.0,30.57,1000.08,1,4
Franco Battiato,21,9.77,1.0,1.0,4.28,963.66,1,1
Kajagoogoo,21,10.74,1.0,1.0,6.58,908.13,1,2
Yes,21,44.31,5.0,5.0,24.21,898.61,1,5
